sidnametelwifi
1海景門市02-2428-4223Y
2新世界門市02-2371-7092
3寶平門市02-2331-0388Y
4羅斯福門市02-2364-6845Y
5懷寧門市02-2389-3776Y
6舊宗門市02-8792-8408Y
7聯合門市02-2749-5657Y
8環亞門市02-8712-0625Y
9環山門市02-2799-5897N
10龍權門市02-2517-9259Y
11龍門門市02-2740-6782Y
12興南門市02-2325-9473Y
13興北門市02-2712-8189Y
14德復門市2578-8732Y
15漢中門市02-2370-5893Y
16實踐門市02-2532-5223Y
17鼎豐門市2773-7207Y
18萬芳門市02-2933-6950Y
19瑞傳門市02-8798-3266Y
20瑞光門市02-2659-3912Y
21新光門市02-8789-4099N
22新天母門市02-2876-9351N
23陽明山門市02-2861-0399Y
24華視門市02-8771-9692Y
25港墘門市02-8753-5105Y
26敦富門市02-2707-4198Y
27敦南門市02-2754-9460Y
28敦信門市02-2702-2443N
29敦化門市02-2718-2750Y
30復安門市(02)2775-1187N
31許昌門市02-2389-9086Y
32統豐門市02-2746-6635Y
33統誠門市02-2723-2086Y
34捷運門市02-2375-9066N
35康寧門市02-2633-1621Y
36興和門市227019918Y
37微風門市及微廣門市02-8772-2208N
38常德門市02-2381-1771N
39崇興門市02-8772-5940N
40崇光門市02-2771-2826N
41國醫門市02-8791-8095N
42馬偕門市02-2511-6691Y
43站前門市02-2381-8993Y
44重慶門市02-2371-3336Y
45美麗華門市02-2175-3190Y
46科教門市02-2833-6976N
47政大門市02-8661-6613Y
48建和門市02-2363-9331Y
49南園門市02-2785-0096N
50南港門市02-2655-1456Y
51南海門市02-2396-0860N
52南東門市02-2516-3186Y
53南西門市02-2556-6810Y
54武昌門市02-2381-5299N
55松壽門市02-8780-8772Y
56松江門市02-2564-2790Y
57松安門市(02)2517-3150N
58松仁門市02-2723-1486Y
59林森門市02-2542-8870N
60杭州門市02-2393-0139N
61忠誠門市02-2873-5815Y
62南山門市02-8786-7793Y
63忠新門市02-2395-7870Y
64和平門市02-2369-4200Y
65京華門市02-8761-6614Y
66京祥門市02-2749-1070Y
